,0,1,2,3,4,5,6,7,8,9
0,28,24,26,30,31,27,29,23,22,29
1,23,31,36,28,22,21,20,18,17,28
2,27,45,31,22,18,27,26,30,31,28
3,24,20,21,26,24,26,27,29,27,19
4,28,22,38,25,30,25,26,26,35,37
5,31,32,22,24,23,32,27,33,25,25
6,25,22,26,28,34,18,30,24,33,24
7,30,28,24,26,29,25,31,27,33,21
8,31,26,24,23,34,26,30,33,17,31
9,23,21,25,29,31,28,26,21,27,35
10,23,30,30,20,40,15,19,34,24,22
11,38,29,35,26,27,24,40,27,27,39
12,30,25,23,33,27,21,24,30,35,33
13,25,28,22,26,32,23,34,32,22,27
14,35,31,36,33,29,22,30,31,19,19
15,26,25,20,26,30,19,26,23,31,25
16,21,30,23,25,28,17,29,26,26,36
17,20,28,36,24,36,21,23,23,26,19
18,21,27,26,26,30,37,33,26,25,25
19,30,25,23,22,26,30,26,35,23,27
