t;U
0;13.9414
1.031;13.9283
2.031;13.9122
3.03;13.895
4.031;13.8774
5.03;13.8603
6.031;13.843
7.03;13.8246
8.031;13.8073
9.03;13.7887
10.031;13.7707
11.031;13.7522
12.03;13.734
13.031;13.7147
14.03;13.6966
15.031;13.6781
16.031;13.6603
17.031;13.6408
18.031;13.6204
19.03;13.602
20.031;13.5841
21.031;13.5641
22.031;13.5458
23.031;13.5265
24.031;13.509
25.031;13.4894
26.031;13.4716
27.03;13.453
28.031;13.4337
29.03;13.4164
30.031;13.3978
31.03;13.3799
32.031;13.3619
33.03;13.3432
34.03;13.3247
35.031;13.3065
36.031;13.2873
37.03;13.2694
38.03;13.2502
39.031;13.2324
40.03;13.2136
41.031;13.1954
42.031;13.1779
43.03;13.1588
44.031;13.1403
45.03;13.1223
46.031;13.1046
47.03;13.0863
48.031;13.0686
49.03;13.0508
50.031;13.0329
51.031;13.0147
52.031;12.9971
53.03;12.9787
54.031;12.9615
55.03;12.9433
56.031;12.9262
57.031;12.9091
58.03;12.8909
59.03;12.874
60.031;12.8566
61.03;12.8388
62.031;12.821
63.031;12.8039
64.031;12.7863
65.031;12.769
66.03;12.7522
67.03;12.7348
68.03;12.7177
69.031;12.7002
70.031;12.683
71.03;12.6652
72.031;12.6493
73.03;12.632
74.031;12.615
75.031;12.5975
76.03;12.5801
77.031;12.5639
78.031;12.5459
79.03;12.5288
80.031;12.512
81.031;12.4951
82.03;12.4774
83.031;12.4617
84.031;12.4444
85.03;12.4275
86.031;12.4108
87.031;12.3936
88.03;12.377
89.031;12.3602
90.031;12.3443
91.03;12.327
92.031;12.3103
93.03;12.2942
94.031;12.2769
95.031;12.2612
96.03;12.2458
97.031;12.228
98.03;12.2119
99.031;12.1956
100.031;12.1791
101.031;12.1637
102.031;12.1468
103.031;12.1313
104.031;12.1149
105.03;12.0981
106.031;12.0824
107.031;12.0661
108.03;12.0503
109.031;12.0343
110.031;12.0182
111.03;12.002
112.031;11.9858
113.031;11.9703
114.031;11.9548
115.03;11.9389
116.031;11.9224
117.031;11.9063
118.031;11.8912
119.031;11.875
120.03;11.8595
121.03;11.8438
122.031;11.8271
123.03;11.8112
124.03;11.7954
